Summary,Issue key,Issue id,Parent id,Issue Type,status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Release Date,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Environment,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Bonfire Testing),Outward issue link (Bonfire Testing),Outward issue link (Bonfire Testing),Outward issue link (Cloners),Outward issue link (Depends(WBSGantt)),Outward issue link (Depends(WBSGantt)),Outward issue link (Duplicate),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (finish-start [GANTT]),Outward issue link (multi-level hierarchy [GANTT]),Attachment,Attachment,Attachment,Attachment,Custom field (AA mert Ticket),Custom field (Account),Custom field (Actual End),Custom field (Actual start),Custom field (Baseline Effort),Custom field (Baseline End),Custom field (Baseline End Date(WBSGantt)),Custom field (Baseline start),Custom field (Baseline start Date(WBSGantt)),Custom field (Browser),Custom field (Business Approval),Custom field (Business Description),Custom field (Business RePestor),Custom field (Business Value),Custom field (Change Decision),Custom field (Change Type),Custom field (Date of Baselining),Custom field (Dev Team),Custom field (Division),Custom field (End Date(WBSGantt)),Custom field (Environment),Custom field (Environment),Custom field (Epic Link),Custom field (External issue ID),Custom field (How to reproduce the issue?),Custom field (Instastation Release),Custom field (Is Regression),Custom field (Iteration),Custom field (Latest End),Custom field (Latest start),Custom field (MS-Project ID),Custom field (Milestone),Custom field (OOTB User story),Custom field (Planned End),Custom field (Planned start),Custom field (Platform compatibility),Custom field (Progress(WBSGantt)),Custom field (Pust rePests),Custom field (QA Team),Custom field (R1 UAT Candidate),Custom field (Raised During),Custom field (Rank),Custom field (Rank (Obsolete)),Custom field (Release Note Visibility),Custom field (Release Note section),Custom field (Require Configuration),Custom field (Scope),Custom field (Section),Custom field (SoW: 2018-2535 Reference),Sprint,Sprint,Custom field (Sprint Planned),Custom field (start Date(WBSGantt)),Custom field (story Points),Custom field (Team),Custom field (Team Role),Custom field (Test Sessions),Custom field (Testing status),Custom field (Type),Custom field (UAT Priority),Custom field (URL),Custom field (Units(WBSGantt)),Custom field (Velocity %),Custom field (WSOwner),Custom field (WSOwner),Custom field (WSOwner),Custom field (WSOwner),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add symbols in AEM ,KKK-19201,53941,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Won't Fix,r.asdf,andrssan,andrssan,26/Jan/21 7:54 AM,08/Feb/21 12:38 PM,03/May/21 7:53 PM,29/Jan/21 12:50 PM,1/Mar/21 11:23 AM,,Release 3.4.0,,,Application Page,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,Pest,,,Quality,,,,,,,,,,,M2,,,,,,,Pest,,,1|zc3zf4:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,MARIO zxcvh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product selector: Show results does not disappear automaticasty  ,KKK-19194,53928,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Working as expected,i.covrig,andrssan,andrssan,25/Jan/21 10:21 AM,11/Feb/21 1:57 PM,03/May/21 7:53 PM,11/Feb/21 1:57 PM,1/Mar/21 11:23 AM,,Release 3.4.0,,,Product Selector,,,0,,,,,,,,,,,,,28800,12600,16200,56%,28800,12600,16200,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,derek.reynolds,,,,,Pest,,,Quality,,,,,,Yes,,,,,M2,,,,,,,Pest,,,1|zc3zc8:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,GIANcaaasdr SIstUZIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Set as Prospect ast the users removed from AD,KKK-19160,53819,,Task,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Done,member2ymanski,member3,member3,19/Jan/21 8:38 AM,11/Feb/21 2:55 PM,03/May/21 7:53 PM,11/Feb/21 2:53 PM,2/Mar/21 11:23 AM,,Release 3.4.0,,,ststhhh Automation,,,0,ACAA-dev,Sp72M1,,,,,,,,,,,14400,0,14400,100%,14400,0,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,carlos.rachedi,,,,,altynot,,,Production,,KKK-16386,,,,,,,,,M1,,,,,,,OLM,,,1|zc3yo8:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,0.5,,,,Not started,Improvement,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overast FED activities 3.4.0,KKK-19209,53960,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Done,e.solovey,e.solovey,e.solovey,26/Jan/21 7:33 PM,10/Mar/21 11:23 AM,03/May/21 7:53 PM,10/Mar/21 11:23 AM,2/Mar/21 11:23 AM,Release 3.3.7,Release 3.4.0,,,Customer Experience,Management,,0,FED,NotForQA,SixDimensions,,,,,,,14400,KKK-19347 - fixing,12/Feb/21 10:33 PM,e.solovey,14400,KKK-18817 - troubleshooting,12/Feb/21 10:34 PM,e.solovey,14400,managing tickets,12/Feb/21 10:36 PM,e.solovey,14400,"KKK-18817 - assisting AA dev, debugging, implementing Launch rules;19/Feb/21 4:52 PM;e.solovey;14400",KKK-18761 - fixing,19/Feb/21 4:53 PM,e.solovey,14400,KKK-18761 - fixing,19/Feb/21 4:53 PM,403200,100%,403200,0,403200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,altynot (TEstACCOUN),,,,,,,,,,,cvxdfhbs.vbxcyh,,,,,altynot,,,Quality,,KKK-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estore - fixes after new design deploy,KKK-19444,54563,54020,Sub-task,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Fixed,m.staicu,m.staicu,m.staicu,26/Feb/21 9:50 AM,12/Mar/21 7:51 AM,03/May/21 7:53 PM,09/Mar/21 10:26 AM,3/Mar/21 11:23 AM,,Release 3.4.0,,,eCart/estore,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zostas (zostas),,,,,,,,Chrome,,,,,,,,,,,Production,,,,,,,,,,,,,,,,,,QAzostas,,,1|zc437c:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KPI export optimization ,KKK-19312,54169,,Task,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Critical,Done,member2ymanski,member3,member3,04/Feb/21 3:18 PM,22/Mar/21 11:48 AM,03/May/21 7:53 PM,22/Mar/21 11:48 AM,3/Mar/21 11:23 AM,,Release 3.4.0,,,ststhhh Automation,,,0,ACAA-dev,Sp72M3,,,,,,,,,,,,,,,,,,,,57600,0,72000,125%,57600,0,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,anna.nicolier,,,,,altynot,,,Production,,KKK-16386,,,,,,,,,M3,,,,,,,QAzostas,,,1|zc40sw:,"9,22337203685478E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partner Product Pages Activity Map,KKK-18969,53252,,Task,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Done,member3,giulia.member4,giulia.member4,16/Dec/20 10:09 AM,25/Mar/21 4:46 PM,03/May/21 7:53 PM,25/Mar/21 4:46 PM,4/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Analytics,,,0,AEM-dev,Analytics,Sp72,,,,,,,,,,,,,,,,,,,115200,14400,100800,87%,115200,14400,100800,,02/Mar/21 3:29 PM,a.gghferel,image-2021-03-02-17-29-46-936.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64154/image-2021-03-02-17-29-46-936.png,10/Mar/21 9:32 AM,t.dddddd,image-2021-03-10-10-32-50-483.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64459/image-2021-03-10-10-32-50-483.png,10/Mar/21 9:34 AM,t.dddddd,image-2021-03-10-10-34-01-248.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64460/image-2021-03-10-10-34-01-248.png,18/Mar/21 8:12 AM,a.gghferel,image-2021-03-18-10-12-16-795.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64778/image-2021-03-18-10-12-16-795.png,18/Mar/21 8:12 AM,a.gghferel,image-2021-03-18-10-12-25-320.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64779/image-2021-03-18-10-12-25-320.png,18/Mar/21 8:12 AM,a.gghferel,image-2021-03-18-10-12-31-009.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64780/image-2021-03-18-10-12-31-009.png,18/Mar/21 8:12 AM,a.gghferel,image-2021-03-18-10-12-34-193.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64781/image-2021-03-18-10-12-34-193.png,18/Mar/21 11:12 AM,t.dddddd,image-2021-03-18-12-12-04-865.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64797/image-2021-03-18-12-12-04-865.png,18/Mar/21 11:16 AM,t.dddddd,image-2021-03-18-12-16-45-657.png,https://mert-st.stramewwweee.com/mert/secure/attachment/64799/image-2021-03-18-12-16-45-657.png,08/Feb/21 4:13 PM,e.solovey,region.png,https://mert-st.stramewwweee.com/mert/secure/attachment/63098/region.png,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,yves.gilot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eDesignSuite Simulator tab improvement,KKK-18645,52178,,Defect,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Won't Do,f.vcxvzrr,o.sfxdvbeanu,o.sfxdvbeanu,04/Nov/20 4:03 PM,26/Mar/21 11:51 AM,03/May/21 7:53 PM,22/Feb/21 11:36 AM,4/Mar/21 11:23 AM,,Release 3.4.0,,,"Home page, Header, Footer",,,0,,,,,,,,,,,,,,,,,,,,,,SS-1330,,,,,,,KKK-19291,,,,,,,,,,,,funcs (funcs),,,,,,,,Chrome,,,cvxdfhbs.vbxcyh,,,,,funcs,,,Production,,KKK-16379,,,,,,,,,M3,,,,,,,QAzostas,,,1|zc3ppk:,"9,22337203685478E+018",,,,,Home Page,,Sprint 72,,,,,,,,Not started,Improvement,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newsroom - wrong behavior on newsroom video,KKK-19078,53508,,Bug,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Fixed,andrssan,a.cgdnh,a.cgdnh,06/Jan/21 12:57 PM,29/Mar/21 7:45 AM,03/May/21 7:53 PM,29/Mar/21 7:45 AM,5/Mar/21 11:23 AM,,Release 3.4.0,,,Newsroom,,,0,Sp72,,,,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,member1,,,,,Pest,,,Quality,,,,,,,,,,,M1,,,,,,,Pest,,,1|zc3xa8:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,Not started,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PF-Upgrade: ""You Might Also Like"" widget (improvement)",KKK-19156,53802,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Minor,Done,vyacheslav.asdfgsdvshevich,b.trss,b.trss,18/Jan/21 3:58 PM,29/Mar/21 7:51 AM,03/May/21 7:53 PM,29/Mar/21 7:51 AM,5/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Product Page,,,0,AEM-dev,CX-1.1,product_folder,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,KKK-19319,,,,,,,KKK-17760,KKK-19322,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,christophe.vxczbaasd,,,,,altynot,,,Quality,,KKK-17200,,,,,,,,,M1,,,,,,,altynot,,,1|zc3ykw:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AppPgs: HW Evaluation Tool Tab issue (Publish/Dispatcher),KKK-19126,53726,,Defect,0,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Trivial,Fixed,vyacheslav.asdfgsdvshevich,b.trss,b.trss,13/Jan/21 3:40 PM,29/Mar/21 7:53 AM,03/May/21 7:53 PM,29/Mar/21 7:53 AM,6/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Application Page,,,0,AEM-dev,,,,,,,,,,,,3600,0,3600,100%,3600,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chrome,,,cccxz.decaaasdr,,,,,altynot,,,Pre Production,,KKK-16010,,,,,,,,,M1,,,,,,,altynot,,,1|zc3y4g:,"9,22337203685478E+018",Yes,,,,Home Page,,Sprint 72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAD Resources - Remove Magenta BOX for NSI products,KKK-19166,53858,,story,1,KKK,Project,software,member1,,https://repo.com/display/vcvc/cdzcsadf+ststhhh+Release+Management+Home+Page,Major,Done,vyacheslav.asdfgsdvshevich,member1,member1,20/Jan/21 8:43 AM,29/Mar/21 7:55 AM,03/May/21 7:53 PM,29/Mar/21 7:55 AM,6/Mar/21 11:23 AM,,Application Pages 2.0,Release 3.4.0,,Product Page,,,0,FED,,,,,,,,,,,,28800,0,28800,100%,28800,0,28800,,KKK-19279,,,,,,,,,vyacheslav.asdfgsdvshevich,17-6.jpg,https://mert-st.stramewwweee.com/mert/secure/attachment/64739/17-6.jpg,20/Jan/21 8:42 AM,member1,image-2021-01-20-09-42-08-657.png,https://mert-st.stramewwweee.com/mert/secure/attachment/62294/image-2021-01-20-09-42-08-657.png,,,,,,,,,,,,,,,,,,,,,,,altynot (TEstACCOUN),,,,,,,,Chrome,,It was ensured that the magenta tooltip to invite user to click on CAD Resources is not displayed for the ast Non Silicon products.,cccxz.decaaasdr,,,,,altynot,,,Production,,KKK-19140,,,,,,,,,M1,,,,,,,altynot,,,1|zc3yww:,"9,22337203685478E+018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
